combination,R2,MSE
"['BattingAvg', 'Runs', 'RBI', 'Walks']",0.4405028727795452,850343.340078687
"['BattingAvg', 'Runs', 'RBI', 'Strikeouts']",0.48180576876028736,784012.3839849986
"['BattingAvg', 'Runs', 'RBI', 'StolenBases']",0.4459526366835985,839260.5701109566
"['BattingAvg', 'Runs', 'Walks', 'Strikeouts']",0.4070226792422654,911014.2957837963
"['BattingAvg', 'Runs', 'Walks', 'StolenBases']",0.4100290944498628,905822.6386605839
"['BattingAvg', 'Runs', 'Strikeouts', 'StolenBases']",0.41739272884050127,893348.9748041114
"['BattingAvg', 'Hits', 'Doubles', 'Triples']",0.36441473257161994,957364.7810963094
"['BattingAvg', 'Hits', 'Doubles', 'HomeRuns']",0.4207510345565475,874141.2557738669
"['BattingAvg', 'Hits', 'Doubles', 'RBI']",0.4142525551859618,882408.3931957779
"['BattingAvg', 'Hits', 'Doubles', 'Walks']",0.3780881223618112,943938.1387443542
"['BattingAvg', 'Hits', 'Doubles', 'Strikeouts']",0.3518482157816424,973178.8810130309
"['BattingAvg', 'Hits', 'Doubles', 'StolenBases']",0.35520286361700526,969065.4355301369
"['BattingAvg', 'Hits', 'Triples', 'HomeRuns']",0.4354797550390357,854328.8404835344
"['BattingAvg', 'Hits', 'Triples', 'RBI']",0.4234351077419518,870336.8421733029
"['BattingAvg', 'Hits', 'Triples', 'Walks']",0.39292250538509255,925256.7493392689
"['BattingAvg', 'Hits', 'Triples', 'Strikeouts']",0.3755651154912524,942177.1503878487
"['BattingAvg', 'Hits', 'Triples', 'StolenBases']",0.37704821002616307,941788.1991129059
"['BattingAvg', 'Hits', 'HomeRuns', 'RBI']",0.4198261829021123,875703.7739797212
"['BattingAvg', 'Hits', 'HomeRuns', 'Walks']",0.43319955119718623,862752.6849903645
"['BattingAvg', 'Hits', 'HomeRuns', 'Strikeouts']",0.47381250816057785,792387.2307148781
"['BattingAvg', 'Hits', 'HomeRuns', 'StolenBases']",0.4380508831233511,850492.3618758904
"['BattingAvg', 'Hits', 'RBI', 'Walks']",0.4298809963426359,865517.2242394909
"['BattingAvg', 'Hits', 'RBI', 'Strikeouts']",0.4529714945209239,821567.6485310504
"['BattingAvg', 'Hits', 'RBI', 'StolenBases']",0.43874357862450364,846420.0104403896
"['BattingAvg', 'Hits', 'Walks', 'Strikeouts']",0.393892644189568,921826.8375153665
"['BattingAvg', 'Hits', 'Walks', 'StolenBases']",0.38786753652989203,931998.4308152661
"['BattingAvg', 'Hits', 'Strikeouts', 'StolenBases']",0.3652274249910298,956111.8744127203
"['BattingAvg', 'Doubles', 'Triples', 'HomeRuns']",0.3853695698008738,925581.6876893997
"['BattingAvg', 'Doubles', 'Triples', 'RBI']",0.4090511210857352,890354.5119124794
"['BattingAvg', 'Doubles', 'Triples', 'Walks']",0.35624807379377765,979120.13283662
"['BattingAvg', 'Doubles', 'Triples', 'Strikeouts']",0.29452594014222067,1059689.449577336
"['BattingAvg', 'Doubles', 'Triples', 'StolenBases']",0.29874463269817386,1053429.5911503164
"['BattingAvg', 'Doubles', 'HomeRuns', 'RBI']",0.406207987079058,895013.7938347936
"['BattingAvg', 'Doubles', 'HomeRuns', 'Walks']",0.40178098893088465,909666.5871020915
"['BattingAvg', 'Doubles', 'HomeRuns', 'Strikeouts']",0.39401809243742436,911298.393166037
"['BattingAvg', 'Doubles', 'HomeRuns', 'StolenBases']",0.40188238166867485,903430.5261282105
"['BattingAvg', 'Doubles', 'RBI', 'Walks']",0.41818347861090854,882543.622411464
"['BattingAvg', 'Doubles', 'RBI', 'Strikeouts']",0.42844269654873857,858756.2118826893
"['BattingAvg', 'Doubles', 'RBI', 'StolenBases']",0.42578963602803216,865625.8006870055
"['BattingAvg', 'Doubles', 'Walks', 'Strikeouts']",0.36006428708262755,972211.2258046905
"['BattingAvg', 'Doubles', 'Walks', 'StolenBases']",0.35851235282875754,975561.805081261
"['BattingAvg', 'Doubles', 'Strikeouts', 'StolenBases']",0.3048401303605317,1044218.7560989726
"['BattingAvg', 'Triples', 'HomeRuns', 'RBI']",0.416166422866019,878998.6651751476
"['BattingAvg', 'Triples', 'HomeRuns', 'Walks']",0.404479326972471,908943.6058697037
"['BattingAvg', 'Triples', 'HomeRuns', 'Strikeouts']",0.36865463194273274,952593.5671827482
"['BattingAvg', 'Triples', 'HomeRuns', 'StolenBases']",0.3746982254066544,950705.9175034087
"['BattingAvg', 'Triples', 'RBI', 'Walks']",0.42931294161432937,865358.4359158616
"['BattingAvg', 'Triples', 'RBI', 'Strikeouts']",0.43518973428100016,848453.3796339625
"['BattingAvg', 'Triples', 'RBI', 'StolenBases']",0.42890475018938473,864001.4851194804
"['BattingAvg', 'Triples', 'Walks', 'Strikeouts']",0.32329414934181544,1041137.4418828425
